Topic_modeling_name,model_num,lattice,initialization,mapsize_model,topographic_error,quantization_error
LDA_vector,LDA_vector_model_0_hexa_pca,hexa,pca,"(17, 41)",0.3165680473372781,0.09289189969519694
LDA_vector,LDA_vector_model_0_hexa_random,hexa,random,"(17, 41)",0.32988165680473375,0.09305918745409746
BERT_vector,BERT_vector_model_0_hexa_pca,hexa,pca,"(17, 41)",0.09245562130177515,0.05801918372182966
BERT_vector,BERT_vector_model_0_hexa_random,hexa,random,"(17, 41)",0.01775147928994083,0.09116200425976151
LDA_vector,LDA_vector_model_1_hexa_pca,hexa,pca,"(23, 53)",0.2403846153846154,0.07198207443336022
LDA_vector,LDA_vector_model_1_hexa_random,hexa,random,"(23, 53)",0.04363905325443787,0.06825186416845007
BERT_vector,BERT_vector_model_1_hexa_pca,hexa,pca,"(23, 53)",0.14644970414201183,0.04026439333746157
BERT_vector,BERT_vector_model_1_hexa_random,hexa,random,"(23, 53)",0.03920118343195266,0.0403038958233306
LDA_vector,LDA_vector_model_2_hexa_pca,hexa,pca,"(37, 39)",0.1235207100591716,0.0661731027526249
LDA_vector,LDA_vector_model_2_hexa_random,hexa,random,"(37, 39)",0.15532544378698224,0.06611441119841667
BERT_vector,BERT_vector_model_2_hexa_pca,hexa,pca,"(37, 39)",0.08210059171597633,0.038360358151809146
BERT_vector,BERT_vector_model_2_hexa_random,hexa,random,"(37, 39)",0.08505917159763314,0.03496390194660381
LDA_vector,LDA_vector_model_3_hexa_pca,hexa,pca,"(41, 33)",0.11168639053254438,0.06978656632488846
LDA_vector,LDA_vector_model_3_hexa_random,hexa,random,"(41, 33)",0.1863905325443787,0.07089821416828498
BERT_vector,BERT_vector_model_3_hexa_pca,hexa,pca,"(41, 33)",0.21375739644970415,0.0352036337324527
BERT_vector,BERT_vector_model_3_hexa_random,hexa,random,"(41, 33)",0.13609467455621302,0.03695216825322097
LDA_vector,LDA_vector_model_4_hexa_pca,hexa,pca,"(31, 44)",0.26627218934911245,0.06746114900279333
LDA_vector,LDA_vector_model_4_hexa_random,hexa,random,"(31, 44)",0.24260355029585798,0.06810827253684466
BERT_vector,BERT_vector_model_4_hexa_pca,hexa,pca,"(31, 44)",0.2692307692307692,0.038848659601897734
BERT_vector,BERT_vector_model_4_hexa_random,hexa,random,"(31, 44)",0.16568047337278108,0.04239744709713368
LDA_vector,LDA_vector_model_5_hexa_pca,hexa,pca,"(26, 34)",0.12130177514792899,0.08144869586942464
LDA_vector,LDA_vector_model_5_hexa_random,hexa,random,"(26, 34)",0.1301775147928994,0.08659482714418688
BERT_vector,BERT_vector_model_5_hexa_pca,hexa,pca,"(26, 34)",0.17899408284023668,0.051755086147441766
BERT_vector,BERT_vector_model_5_hexa_random,hexa,random,"(26, 34)",0.5399408284023669,0.05429043387663625
LDA_vector,LDA_vector_model_6_hexa_pca,hexa,pca,"(38, 23)",0.21079881656804733,0.08087403428506236
LDA_vector,LDA_vector_model_6_hexa_random,hexa,random,"(38, 23)",0.053994082840236685,0.08474556295488588
BERT_vector,BERT_vector_model_6_hexa_pca,hexa,pca,"(38, 23)",0.0613905325443787,0.04918099044811356
BERT_vector,BERT_vector_model_6_hexa_random,hexa,random,"(38, 23)",0.17899408284023668,0.05804903647654795
LDA_vector,LDA_vector_model_7_hexa_pca,hexa,pca,"(44, 30)",0.23224852071005916,0.06817338675610544
LDA_vector,LDA_vector_model_7_hexa_random,hexa,random,"(44, 30)",0.13683431952662722,0.07075861802444125
BERT_vector,BERT_vector_model_7_hexa_pca,hexa,pca,"(44, 30)",0.16198224852071005,0.03843188554876441
BERT_vector,BERT_vector_model_7_hexa_random,hexa,random,"(44, 30)",0.3291420118343195,0.0340641625923172
