embeddings_name,Num_Topics,n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_method,topic_coherence_c_v
all-mpnet-base-v2,8,20,10,10,15,eom,0.5105211065083796
all-mpnet-base-v2,8,10,5,5,5,eom,0.5062819904981732
all-mpnet-base-v2,10,25,15,10,10,eom,0.5019967404680913
all-mpnet-base-v2,18,25,5,10,15,eom,0.49860122649903027
all-mpnet-base-v2,14,25,5,15,15,eom,0.49860122649903027
all-mpnet-base-v2,14,25,5,20,15,eom,0.49860122649903027
all-mpnet-base-v2,20,25,5,20,15,eom,0.49860122649903027
all-mpnet-base-v2,20,25,5,10,15,eom,0.49860122649903027
all-mpnet-base-v2,10,25,5,20,15,eom,0.49860122649903027
all-mpnet-base-v2,18,25,5,15,15,eom,0.49860122649903027
all-mpnet-base-v2,16,25,5,20,15,eom,0.49860122649903027
all-mpnet-base-v2,8,25,5,20,15,eom,0.49860122649903027
all-mpnet-base-v2,16,25,5,10,15,eom,0.49860122649903027
all-mpnet-base-v2,12,25,5,10,15,eom,0.49860122649903027
all-mpnet-base-v2,12,25,5,15,15,eom,0.49860122649903027
all-mpnet-base-v2,10,25,5,15,15,eom,0.49860122649903027
all-mpnet-base-v2,12,25,5,20,15,eom,0.49860122649903027
all-mpnet-base-v2,16,25,5,15,15,eom,0.49860122649903027
all-mpnet-base-v2,20,25,5,15,15,eom,0.49860122649903027
all-mpnet-base-v2,10,25,5,10,15,eom,0.49860122649903027
all-mpnet-base-v2,8,25,5,10,15,eom,0.49860122649903027
all-mpnet-base-v2,14,25,5,10,15,eom,0.49860122649903027
all-mpnet-base-v2,8,25,5,15,15,eom,0.49860122649903027
all-mpnet-base-v2,18,25,5,20,15,eom,0.49860122649903027
all-mpnet-base-v2,8,25,5,5,15,eom,0.49814350309753647
all-mpnet-base-v2,10,15,25,10,10,eom,0.49608865816003384
all-mpnet-base-v2,10,15,25,15,10,eom,0.49608865816003384
all-mpnet-base-v2,6,10,5,5,5,eom,0.4952734498405403
all-mpnet-base-v2,10,20,20,20,15,eom,0.4945802438000103
all-mpnet-base-v2,18,20,20,20,15,eom,0.4945802438000103
all-mpnet-base-v2,8,20,20,20,15,eom,0.4945802438000103
all-mpnet-base-v2,12,20,20,20,15,eom,0.4945802438000103
all-mpnet-base-v2,16,20,20,20,15,eom,0.4945802438000103
all-mpnet-base-v2,20,20,20,20,15,eom,0.4945802438000103
all-mpnet-base-v2,14,20,20,20,15,eom,0.4945802438000103
all-mpnet-base-v2,6,25,5,5,5,eom,0.494377826673457
all-mpnet-base-v2,8,25,15,15,10,eom,0.494168905857381
all-mpnet-base-v2,10,20,25,20,15,eom,0.49337281545050804
all-mpnet-base-v2,16,20,25,20,15,eom,0.49337281545050804
all-mpnet-base-v2,12,20,25,15,15,eom,0.49337281545050804
