Num_Topics,Alpha,Beta,Coherence
8,symmetric,0.81,0.489910447
16,0.21,0.61,0.479865969
20,symmetric,0.81,0.476992286
8,0.41,symmetric,0.473855166
16,0.01,0.81,0.473075946
10,0.41,0.61,0.472807098
4,0.61,0.21,0.471646667
12,0.61,0.41,0.469156438
14,0.61,0.21,0.467154605
20,asymmetric,0.61,0.46694395
20,0.01,0.81,0.466873708
14,0.61,0.01,0.464611121
14,0.61,0.81,0.463894205
16,symmetric,0.21,0.463872654
8,0.61,0.61,0.463680202
18,asymmetric,0.61,0.463585653
18,asymmetric,0.81,0.462679535
10,0.61,0.61,0.462389741
8,0.61,0.41,0.461908927
14,0.01,0.61,0.461819788
20,asymmetric,0.41,0.460519899
14,0.81,0.81,0.460359507
12,0.81,0.21,0.460242589
12,0.61,0.81,0.458724394
8,0.01,0.81,0.457833758
12,symmetric,0.81,0.457460462
18,symmetric,0.81,0.457121854
16,asymmetric,0.81,0.456701352
14,0.81,symmetric,0.456573441
20,asymmetric,0.81,0.456327843
10,asymmetric,0.61,0.456180982
14,symmetric,0.61,0.455861769
16,0.41,0.81,0.455784667
8,asymmetric,0.01,0.455598446
20,0.01,0.21,0.455527561
8,0.81,0.01,0.454954906
14,0.41,0.61,0.454678061
18,0.21,0.21,0.454099993
8,0.81,0.41,0.453851014
12,0.81,0.41,0.45365212
10,0.81,0.41,0.453411637
18,0.01,0.81,0.452803359
10,0.21,0.61,0.452726341
14,asymmetric,0.41,0.452174104
14,0.81,0.01,0.451749077
16,0.01,0.41,0.450726674
6,0.81,0.41,0.450671748
14,0.81,0.21,0.450317237
4,0.01,0.61,0.450173132
8,asymmetric,0.61,0.449696509
12,0.61,0.21,0.449165306
14,0.21,0.81,0.448876228
16,asymmetric,0.21,0.448771238
14,0.01,0.81,0.4485019
8,0.41,0.01,0.448377904
10,asymmetric,symmetric,0.448288991
18,0.81,0.01,0.448102906
8,0.21,0.81,0.447686769
8,asymmetric,0.41,0.44730668
16,0.81,0.61,0.447226856
16,0.21,0.21,0.447223024
6,0.81,0.81,0.447147511
16,symmetric,0.61,0.447134104
20,0.21,0.21,0.446805595
14,0.61,0.41,0.446258807
16,symmetric,0.81,0.446067232
10,0.41,0.41,0.446040009
4,0.81,0.81,0.445944226
12,0.61,0.61,0.445922919
12,0.01,0.81,0.445903507
6,0.61,0.21,0.445761635
6,symmetric,0.21,0.445741174
14,0.41,0.21,0.445568584
14,asymmetric,0.81,0.445536372
6,0.41,0.41,0.44527507
18,0.61,0.81,0.44510886
18,symmetric,0.61,0.444928113
4,0.21,symmetric,0.444803009
10,0.81,symmetric,0.444776458
8,0.61,0.21,0.444510918
20,0.81,0.41,0.444485551
14,0.21,0.61,0.444382262
12,0.41,0.21,0.444035692
12,asymmetric,0.81,0.443748207
16,0.81,0.01,0.443730863
16,0.81,0.81,0.443612532
8,0.21,0.61,0.443498236
16,0.61,symmetric,0.443411011
4,0.21,0.21,0.44307898
12,0.61,0.01,0.442749426
20,0.61,0.81,0.442385193
10,0.01,0.41,0.442252116
18,0.41,0.21,0.441983724
18,0.61,symmetric,0.441699358
10,0.81,0.01,0.441621213
6,symmetric,0.61,0.441615057
4,0.61,0.01,0.441403735
16,0.21,0.41,0.441390741
8,0.01,0.41,0.441218958
16,0.81,symmetric,0.441168815
12,0.21,0.61,0.441068525
20,0.41,0.41,0.440901955
10,0.21,0.21,0.440797581
6,0.21,0.01,0.440784631
10,symmetric,symmetric,0.440594471
16,0.21,0.81,0.440554084
6,symmetric,0.41,0.440534474
4,symmetric,0.81,0.440346664
18,asymmetric,0.21,0.440173471
8,0.01,0.21,0.440032853
8,0.61,symmetric,0.440029532
14,0.41,symmetric,0.440006722
16,symmetric,0.41,0.439997245
10,0.61,symmetric,0.439962763
12,0.61,symmetric,0.439840705
4,0.81,0.61,0.439612997
18,0.01,0.21,0.43959514
10,symmetric,0.61,0.439570954
12,asymmetric,0.61,0.439431508
18,0.61,0.21,0.439410813
10,0.61,0.21,0.439403553
18,0.81,0.41,0.43928825
4,symmetric,0.41,0.439206372
4,0.01,0.01,0.439198519
14,0.01,symmetric,0.438887395
12,symmetric,0.61,0.438845184
16,0.81,0.21,0.438496578
4,0.81,0.41,0.438298576
12,0.01,0.61,0.438286977
6,0.41,0.61,0.438159994
6,asymmetric,0.61,0.438153284
10,0.01,0.21,0.438025707
14,0.41,0.01,0.437430167
10,asymmetric,0.41,0.437408185
18,0.41,0.81,0.437285607
8,0.81,0.21,0.437272164
4,0.21,0.61,0.437205915
