Column1,thesis_id,collection_id,Nome-apelido,Author_email,Advisor_bom_1,Advisor_bom_2,Advisor_bom_3,Coorientador(es)_bom_3,Date_issued,Rights,Date_embargo,Embargo_info,title,Type_thesis,Language,Thesis_url,Specialization_retificado,Abstract_en
0,58592,10362/2160, Evandro da Silva MendonÁa,,Miguel de Castro Simıes Ferreira Neto,,,,20/12/2018,openAccess,,,Genetic algorithm for waste collection in smart cities : case of Campolide,Work project,eng,http://hdl.handle.net/10362/57146,Knowledge Management and Business Intelligence,"Smarts cities are becoming an important concept in the cities, it tries to discover methods to interact with the environment in sustainable ways inside urban areas. This concept emerged to deal with the growing urbanization faced by the cities around the globe. Within problems brought by the urbanization, waste management is one of the hardest and most impactful. The collection stage of the waste management is the costliest and the route planning for the garbage trucks is a well-known hard problem. In this project, a genetic algorithm is proposed to deal with the waste collection routing problem using a heterogeneous fleet of trucks. As the population in the city is expected to grow over the years, the project adapts to the current state of the city, because it uses the concept of open data from the municipality to feed itself with the garbage collection information and generate its results. Multiple runs were performed to define its parameters. The algorithm was tested in the simplified real case of Campolide, in the municipality of Lisbon, and proved to be feasible for application on real-world scenarios relying only on actual data of the cities  waste collection."
1,13946,10362/2160, Sabrina Vieira Fialho,,Miguel de Castro Simıes Ferreira Neto,,,,29/07/2014,openAccess,,,"How enterprise 2,0 firms take advantage of emergent social software platforms to manage knowledge",Dissertation,eng,http://hdl.handle.net/10362/13755,Information Systems and Technologies Management,"This research aims to provide a better understanding on how firms stimulate knowledge sharing through the utilization of collaboration tools, in particular Emergent Social Software Platforms (ESSPs). It focuses on the distinctive applications of ESSPs and on the initiatives contributing to maximize its advantages. 
In the first part of the research, I have itemized all types of existing collaboration tools and classify them in different categories according to their capabilities, objectives and according to their faculty for promoting knowledge sharing. In the second part, and based on an exploratory case study at Cisco Systems, I have identified the main applications of an existing enterprise social software platform named Webex Social. 
By combining a qualitative and quantitative approach, as well as combining data collected from survey  results and from the analysis of the company  documents, I am expecting to maximize the outcome of this investigation and reduce the risk of bias. 
Although effects cannot be universalized based on one single case study, some utilization patterns have been underlined from the data collected and potential trends in managing knowledge have been observed. The results of the research have also enabled identifying most of the constraints experienced by the users of the firm  social software platform. 
Utterly, this research should provide a primary framework for firms planning to create or implement a social software platform and for firms willing to increase adoption levels and to promote the overall participation of users. It highlights the common traps that should be avoided by developers when designing a social software platform and the capabilities that it should inherently carry to support an effective knowledge management strategy."
2,58594,10362/2160, Gil GonÁalo Freire Martins,,Roberto AndrÈ Pereira Henriques,,,,11/12/2018,openAccess,,,Previsıes de movimentos acentuados no preÁo de aÁıes com seleÁ„o automatizada de modelos de aprendizagem autom·tica,Work project,eng,http://hdl.handle.net/10362/57148,Knowledge Management and Business Intelligence,"Forecastng tme series on fnancial markets is regarded as a challenging task. Predictng the
movement and directon of the series may be more proftable than the price forecast, but in order to
maximize the return it may be interestng to predict the series sharp movements. Using 18 series of
stocks from three diferent markets and for a forecast horizon of 4 weeks, this study tests three
hypotheses to evaluate the pertnence of predicton of sharp movements, considering the existence
or not of dependence in the tme dimension and also the potental change of the relatonships
between the dependent and independent variables with the tme dimension. For each tested series,
the three hypothesis, with seven machine learning models are tested and the best is selected to carry
out the predictons through an automatc optmizaton methodology, which selects from 103 possible
variables to do the predictons, in a problem with unbalanced classes. This study achieves
compettve results with the literature, with the best methodology being likely to hit in the directon
of the movement of the series in 80% of the cases and the sharp movements in 65% of tmes."
3,66297,10362/2160, Jan-Benedikt Jagusch,,Mauro Castelli,,,,30/11/2018,openAccess,,,Neuroevolution under unimodal error landscapes : an exploration of the semantic learning machine algorithm,Dissertation,eng,http://hdl.handle.net/10362/64813,Knowledge Management and Business Intelligence,"Neuroevolution is a field in which evolutionary algorithms are applied with the goal 
of evolving Artificial Neural Networks (ANNs). These evolutionary approaches can be 
used to evolve ANNs with fixed or dynamic topologies. This paper studies the Semantic 
Learning Machine (SLM) algorithm, a recently proposed neuroevolution method 
that searches over unimodal error landscapes in any supervised learning problem, 
where the error is measured as a distance to the known targets. SLM is compared with 
the topology-changing algorithm NeuroEvolution of Augmenting Topologies (NEAT) 
and with a fixed-topology neuroevolution approach. Experiments are performed on a 
total of 6 real-world datasets of classification and regression tasks. The results show 
that the best SLM variants outperform the other neuroevolution approaches in terms 
of generalization achieved, while also being more efficient in learning the training data. 
Further comparisons show that the best SLM variants also outperform the common 
ANN backpropagation-based approach under different topologies. A combination of 
the SLM with a recently proposed semantic stopping criterion also shows that it is 
possible to evolve competitive neural networks in a few seconds on the vast majority 
of the datasets considered."
4,74318,10362/2160, AndrÈ Miguel Alves Rodrigues Godinho Sobral,,Rui Alexandre Henriques GonÁalves,,,,02/03/2017,openAccess,,,IdentificaÁ„o de segmentos de risco numa instituiÁ„o financeira : aplicaÁ„o de tÈcnicas de data mining a dados de risco operacional,Dissertation,por,http://hdl.handle.net/10362/72831,Knowledge Management and Business Intelligence,"During the last two decades, operational risk has become a subject of great importance. As so,
institutions in general, and those within the financial sector in particular, started to pay more attention
to it, in addition to the attention they were already paying to other long-standing and well-known
types of risk, namely, those of market and credit risk. One of the many tools used by financial
institutions to prevent against operational risk concerns the way these can develop analytical
processes that strengthen two of their biggest actives: on the one side, the intensification of computer
power at a lower cost, and, on the other side, the increasingly growing quantity of data that is produced
and stored. This way, data is unquestionably seen as the most plentiful resource in organisations.
However, it is the capacity to analyse data, and to extract information that carries some knowledge,
that is the driving force responsible for the productivity growth, innovation and competitive
advantages of organisations. This necessity initiated the development of the Knowledge Discovery on
Databases (KDD) process, and its most complex analytical component, Data Mining. The latter has its
origins in various subjects, such as statistics, artificial intelligence, or computer science. Data Mining
has gained major relevance in the last two decades, both academically and at the organisational level,
having this mainly to do with: (i) how it allows to explore and analyse large quantities of data; (ii)
through the analysis, how it allows to uncover hidden relationships and similarity patterns amongst
data; (iii) how it allows the analyst to withdraw conclusions about these relationships and patterns,
achieving new predictive knowledge capable of increasing business activities and, as a consequence,
displaying more advantages over the competition. When it comes to the banking sector, these tools
allow for a better performance analysis of the reality and help in decision-making processes, for
instance, whether a credit granting should be or should not be attributed/permitted. In other words,
due to its capacity to analyse both past and present, Data Mining is able to find the basis that allow to
predict the future. "
5,20859,10362/2160, GlÛria Eduara Moura GonÁalves,,Tiago AndrÈ GonÁalves FÈlix de Oliveira,Frederico Cruz Jesus,,,15/12/2016,Restrict access (3 Years),,YEARS _WITHHELD : 3,Understanding the Individual-level Digital Divide : evidence of an African Country,Dissertation,eng,http://hdl.handle.net/10362/19633,Information Systems and Technologies Management,"Digital divide, the differential in access and use of information and communication technologies (ICT) represents an obstacle to the information society, and general wellbeing. This study combines the extended unified theory of acceptance, and use of technology (UTAUT2) (Venkatesh, Thong, & Xu, 2012), Schwartz  basic human values theory (Schwartz, 1992) and ICT skills to: (1) understand which factors influence ICT acceptance among individuals; (2) explore the role of basic values on ICT acceptance; and, (3) examine how these factors explain the digital divide. The research model was tested in the context of a sub-Saharan country. Empirical results suggest that ICT use is mainly influenced by behavioral intention, habit, and ICT skills. Hedonism, achievement, benevolence, and universalism were the most significant values."
6,58605,10362/2160, Nedra Manai,,Frederico Miguel Campos Cruz Ribeiro de Jesus,,,,08/01/2019,openAccess,,,Delays prediction using data mining techniques for supply chain risk management company,Work project,eng,http://hdl.handle.net/10362/57155,Knowledge Management and Business Intelligence,"Globalization makes competition in supply chain management more intense. Pressure on 
improving the efficiency, guarantee that goods arrive on time and reduce the cost of shipment 
became higher. Shipment passes through different continents and cultures, dispersed around 
the world and encounter different conditions and risks. These risks are unexpected events that 
might disrupt the flow of materials or the planned operations. It can be due to late delivery, 
inaccuracy in forecasting, natural disasters like hurricane and earthquake or sociocultural 
events like strike. An effective use of supply chain risk management methods which includes 
risk identification, risk assessment, risk mitigation, and risk control is important for the 
organization to survive. For that reason, I was part of a team in XXX organization who has a 
goal to develop a predictive model to predict shipment delays for company  customers."
7,94550,10362/2160, Lucas Mariani Lunelli,,Mauro Castelli,,,,23/01/2020,openAccess,,,Previs„o de resultado de jogos da NBA com algoritmos de machine learning,Work project,por,http://hdl.handle.net/10362/93006,Knowledge Management and Business Intelligence,"NBA is one of the largest sports leagues in the world and every year it moves billions of dollars in
sponsorship and betting. In addition to the money involved, many metrics about players and teams
are generated, which is a great opportunity for data enthusiasts. Thus, this project will use this data
to develop machine learning models to predict the results of NBA games and, from the model's
results, build a simple betting system.
The experimental part consists of five steps. The first one is mastering the subject. Next, is the data
collection and its exploratory analysis. After that, the data is preprocessed and new features are
created. The next step is the modeling. The model is trained using machine learning algorithms such
as decision trees, logistic regression, neural networks and ensembles. After first evaluation, the more
important features are selected and incorporated into the model, always aiming to increase its
accuracy. Using model's results is possible now to create betting strategies. Finally, the results of the
model and betting strategies are evaluated through several metrics and comparisons with the results
found in the literature."
8,65290,10362/2160, Hugo Alexandre Martins Esteves,,Mauro Castelli,,,,07/02/2019,openAccess,,,Predictive analytics applied to Alzheimerís disease : a data visualisation framework for understanding current research and future challenges,Dissertation,eng,http://hdl.handle.net/10362/63807,Knowledge Management and Business Intelligence,"Big Data is, nowadays, regarded as a tool for improving the healthcare sector in many areas, such as in its economic side, by trying to search for operational efficiency gaps, and in personalised treatment, by selecting the best drug for the patient, for instance. Data science can play a key role in identifying diseases in an early stage, or even when there are no signs of it, track its progress, quickly identify the efficacy of treatments and suggest alternative ones. Therefore, the prevention side of healthcare can be enhanced with the usage of state-of-the-art predictive big data analytics and machine learning methods, integrating the available, complex, heterogeneous, yet sparse, data from multiple sources, towards a better disease and pathology patterns identification. It can be applied for the diagnostic challenging neurodegenerative disorders; the identification of the patterns that trigger those disorders can make possible to identify more risk factors, biomarkers, in every human being. With that, we can improve the effectiveness of the medical interventions, helping people to stay healthy and active for a longer period. In this work, a review of the state of science about predictive big data analytics is done, concerning its application to Alzheimer  Disease early diagnosis. It is done by searching and summarising the scientific articles published in respectable online sources, putting together all the information that is spread out in the world wide web, with the goal of enhancing knowledge management and collaboration practices about the topic. Furthermore, an interactive data visualisation tool to better manage and identify the scientific articles is develop, delivering, in this way, a holistic visual overview of the developments done in the important field of Alzheimer  Disease diagnosis."
9,64394,10362/2160, JosÈ Henrique Br·s Ferreira de Castro,,Diego Costa Pinto,,,,27/02/2019,openAccess,,,Crowdsourcing in the food industry: the impact of creatorís body type and gender on healthy food consumption,Dissertation,eng,http://hdl.handle.net/10362/62920,Knowledge Management and Business Intelligence,"Instead of resorting exclusively to marketing experts or designers, organizations are almost required to generate the desired results with the contribution of the  crowd  ù of consumers. With crowdsourcing activities, companies not only achieve great results, but also change the consumer role from passive to active and ready to collaborate in companies  offers. 
The current research suggests that, in a crowdsourcing context, the physical appearance of the individual (normal vs. obese body type) who created a certain food product, has an influence in the perception towards the same food product. This study further tests the moderating influence based on gender, investigating the changes in the healthy eating behavior of male and female participants after randomly confronted with a picture of a normal versus an obese individual that created the product. This effect of the creator  body type and gender on healthy food consumption is justified by the gender differences in terms of physical self-perception and social comparison. In two studies we test our hypothesis, evaluating the perception of healthiness and tastiness in two different sets of food products commonly perceived as healthy and unhealthy (pilot study) and the effect of creator  body type and gender on healthy food consumption (study 1). The findings have implications for research and practice regarding body image and healthy food literature."
